2026-02-14 21:54:40,117 - INFO - Email configuration loaded from email_config.json
2026-02-14 21:54:40,118 - INFO - Loading reference data from reference.csv
2026-02-14 21:54:41,685 - INFO - Loaded 259397 EIN-to-address mappings
2026-02-14 21:54:41,686 - INFO - ============================================================
2026-02-14 21:54:41,686 - INFO - TopHat API Monitor started at 2026-02-14 21:54:41.686192
2026-02-14 22:00:06,355 - INFO - Processed offset 25100: found 100 records, 25200 total fetched
2026-02-14 22:00:07,585 - INFO - Processed offset 25200: found 100 records, 25300 total fetched
2026-02-14 22:00:08,812 - INFO - Processed offset 25300: found 100 records, 25400 total fetched
2026-02-14 22:00:09,950 - INFO - Processed offset 25400: found 100 records, 25500 total fetched
2026-02-14 22:00:11,108 - INFO - Processed offset 25500: found 100 records, 25600 total fetched
2026-02-14 22:00:12,294 - INFO - Processed offset 25600: found 100 records, 25700 total fetched
2026-02-14 22:00:13,523 - INFO - Processed offset 25700: found 100 records, 25800 total fetched
2026-02-14 22:00:14,757 - INFO - Processed offset 25800: found 100 records, 25900 total fetched
2026-02-14 22:00:15,981 - INFO - Processed offset 25900: found 100 records, 26000 total fetched
2026-02-14 22:00:17,213 - INFO - Processed offset 26000: found 100 records, 26100 total fetched
2026-02-14 22:00:18,438 - INFO - Processed offset 26100: found 100 records, 26200 total fetched
2026-02-14 22:00:19,671 - INFO - Processed offset 26200: found 100 records, 26300 total fetched
2026-02-14 22:00:20,897 - INFO - Processed offset 26300: found 100 records, 26400 total fetched
2026-02-14 22:00:22,125 - INFO - Processed offset 26400: found 100 records, 26500 total fetched
2026-02-14 22:00:23,282 - INFO - Processed offset 26500: found 100 records, 26600 total fetched
2026-02-14 22:00:24,484 - INFO - Processed offset 26600: found 100 records, 26700 total fetched
2026-02-14 22:00:25,711 - INFO - Processed offset 26700: found 100 records, 26800 total fetched
2026-02-14 22:00:26,865 - INFO - Processed offset 26800: found 100 records, 26900 total fetched
2026-02-14 22:00:28,067 - INFO - Processed offset 26900: found 100 records, 27000 total fetched
2026-02-14 22:00:29,292 - INFO - Processed offset 27000: found 100 records, 27100 total fetched
2026-02-14 22:00:30,444 - INFO - Processed offset 27100: found 100 records, 27200 total fetched
2026-02-14 22:00:31,648 - INFO - Processed offset 27200: found 100 records, 27300 total fetched
2026-02-14 22:00:32,877 - INFO - Processed offset 27300: found 100 records, 27400 total fetched
2026-02-14 22:00:34,106 - INFO - Processed offset 27400: found 100 records, 27500 total fetched
2026-02-14 22:00:35,250 - INFO - Processed offset 27500: found 100 records, 27600 total fetched
2026-02-14 22:00:36,398 - INFO - Processed offset 27600: found 100 records, 27700 total fetched
2026-02-14 22:00:37,574 - INFO - Processed offset 27700: found 100 records, 27800 total fetched
2026-02-14 22:00:38,716 - INFO - Processed offset 27800: found 100 records, 27900 total fetched
2026-02-14 22:00:39,860 - INFO - Processed offset 27900: found 100 records, 28000 total fetched
2026-02-14 22:00:41,019 - INFO - Processed offset 28000: found 100 records, 28100 total fetched
2026-02-14 22:00:42,174 - INFO - Processed offset 28100: found 100 records, 28200 total fetched
2026-02-14 22:00:43,340 - INFO - Processed offset 28200: found 100 records, 28300 total fetched
2026-02-14 22:00:44,551 - INFO - Processed offset 28300: found 100 records, 28400 total fetched
2026-02-14 22:00:45,707 - INFO - Processed offset 28400: found 100 records, 28500 total fetched
2026-02-14 22:00:46,907 - INFO - Processed offset 28500: found 100 records, 28600 total fetched
2026-02-14 22:00:48,135 - INFO - Processed offset 28600: found 100 records, 28700 total fetched
2026-02-14 22:00:49,303 - INFO - Processed offset 28700: found 100 records, 28800 total fetched
2026-02-14 22:00:50,490 - INFO - Processed offset 28800: found 100 records, 28900 total fetched
2026-02-14 22:00:51,630 - INFO - Processed offset 28900: found 100 records, 29000 total fetched
2026-02-14 22:00:52,845 - INFO - Processed offset 29000: found 100 records, 29100 total fetched
2026-02-14 22:00:54,077 - INFO - Processed offset 29100: found 100 records, 29200 total fetched
2026-02-14 22:00:55,303 - INFO - Processed offset 29200: found 100 records, 29300 total fetched
2026-02-14 22:00:56,532 - INFO - Processed offset 29300: found 100 records, 29400 total fetched
2026-02-14 22:00:57,761 - INFO - Processed offset 29400: found 100 records, 29500 total fetched
2026-02-14 22:00:58,927 - INFO - Processed offset 29500: found 100 records, 29600 total fetched
